Date,Tree_ID,Orchard_Mapping_Image,Aerial_UAV_Image,Ground_RGB_Image,Ground_RGB_Image_with_Bounding_Boxes,Ground_RGB_Image_Annotations,Multispectral_RGB_Image,Multispectral_REG_Image,Multispectral_RED_Image,Multispectral_NIR_Image,Multispectral_GRE_Image,Multispectral_RGB_Bounding_Box_Image,Multispectral_RGB_Bounding_Box_Annotation,Label,UAV_NDVI,UAV_EVI,UAV_NDRE,UAV_SAVI,UAV_GNDVI,UAV_RVI,UAV_TVI,x1,x2,y1,y2,Multispectral_NDVI,Multispectral_EVI,Multispectral_NDRE,Multispectral_SAVI,Multispectral_GNDVI,Multispectral_RVI,Multispectral_TVI,Multispectral_NDVI_Image,Multispectral_GNDVI_Image,Multispectral_NDRE_Image,Multispectral_SAVI_Image
04_11_21,20-12,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-21.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/IMG_700101_000433_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/IMG_700101_000433_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/IMG_700101_000433_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/IMG_700101_000433_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/IMG_700101_000433_0000_GRE.TIF,,,0,0.82593256,1.0684718,0.06354903,0.41558918,0.6491062,12.197372,14.104811,843.0,912.0,807.0,873.0,0.5804163699152997,26781.253679530746,0.12195233421136073,0.8658798716618291,0.5368895999845988,548.244061466795,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/ndvi_image_207.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/gndvi_image_207.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/ndre_image_207.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 21/savi_image_207.jpeg
04_11_21,20-13,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-22.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/IMG_700101_000443_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/IMG_700101_000443_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/IMG_700101_000443_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/IMG_700101_000443_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/IMG_700101_000443_0000_GRE.TIF,,,0,0.8120607,0.8866605,0.06479646,0.3696127,0.6452646,10.648242,11.973174,928.0,987.0,810.0,885.0,0.542256516228056,16590.075268007495,0.10401139780544465,0.8089036495974882,0.5532319010146374,126.28273281856653,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/ndvi_image_208.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/gndvi_image_208.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/ndre_image_208.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 22/savi_image_208.jpeg
04_11_21,20-14,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-23.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/IMG_700101_000453_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/IMG_700101_000453_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/IMG_700101_000453_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/IMG_700101_000453_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/IMG_700101_000453_0000_GRE.TIF,,,0,0.82401085,1.0558987,0.072700635,0.40442544,0.646333,11.558145,13.598813,990.0,1053.0,817.0,892.0,0.5507578962052427,24265.72882719561,0.09165251845280808,0.8213534834338547,0.5257745012678027,720.8544127436169,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/ndvi_image_209.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/gndvi_image_209.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/ndre_image_209.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 23/savi_image_209.jpeg
04_11_21,20-29,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-24.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/IMG_700101_000503_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/IMG_700101_000503_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/IMG_700101_000503_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/IMG_700101_000503_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/IMG_700101_000503_0000_GRE.TIF,,,0,0.7707509,0.9144238,0.04576588,0.3170145,0.5458002,8.292737,10.281938,2436.0,2514.0,998.0,1070.0,0.538961111710742,18608.902396714308,0.10587223121710705,0.803709010934207,0.5435263598435958,240.42728132674802,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/ndvi_image_210.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/gndvi_image_210.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/ndre_image_210.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 24/savi_image_210.jpeg
04_11_21,20-28,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-25.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/IMG_700101_000513_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/IMG_700101_000513_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/IMG_700101_000513_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/IMG_700101_000513_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/IMG_700101_000513_0000_GRE.TIF,,,0,0.81446314,0.89711505,0.08078586,0.35437778,0.6213558,10.519629,11.562897,2358.0,2424.0,998.0,1060.0,0.5376290238690609,16233.40448798791,0.12143790040493513,0.8019813641579919,0.5547170243350416,223.50646088410022,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/ndvi_image_211.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/gndvi_image_211.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/ndre_image_211.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 25/savi_image_211.jpeg
04_11_21,20-27,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-26.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/IMG_700101_000524_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/IMG_700101_000524_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/IMG_700101_000524_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/IMG_700101_000524_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/IMG_700101_000524_0000_GRE.TIF,,,0,0.8103423,0.7933556,0.08621368,0.30757788,0.58975047,10.177856,9.68448,2293.0,2349.0,991.0,1060.0,0.5448394911633634,17030.132709822075,0.10234023620270549,0.8122960481514061,0.5598488799696171,131.29458066905798,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/ndvi_image_212.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/gndvi_image_212.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/ndre_image_212.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 26/savi_image_212.jpeg
04_11_21,20-26,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Grapholita molesta/7-27.jpg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos_bounding_box/Grapholita molesta/7-27.png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos_bounding_box/Grapholita molesta/7-27.json,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/IMG_700101_000535_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/IMG_700101_000535_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/IMG_700101_000535_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/IMG_700101_000535_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/IMG_700101_000535_0000_GRE.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos_bounding_box/Grapholita molesta/7 - 27/IMG_700101_000535_0000_RGB.png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos_bounding_box/Grapholita molesta/7 - 27/IMG_700101_000535_0000_RGB.json,1,0.77214414,1.0081029,0.08021774,0.39164588,0.6166536,8.348188,13.292431,2227.0,2277.0,973.0,1032.0,0.5310390858429398,14378.08771553046,0.1268430422507697,0.7919549189591999,0.5614901086553938,508.75424862240584,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/ndvi_image_213.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/gndvi_image_213.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/ndre_image_213.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Grapholita molesta/7 - 27/savi_image_213.jpeg
04_11_21,20-25,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-28.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/IMG_700101_000546_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/IMG_700101_000546_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/IMG_700101_000546_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/IMG_700101_000546_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/IMG_700101_000546_0000_GRE.TIF,,,0,0.8032695,0.87094146,0.090766415,0.35818744,0.6393123,10.122575,11.695744,2143.0,2215.0,970.0,1045.0,0.556044010231402,15299.670110835843,0.1197615162425879,0.8295101450434529,0.5778218069607955,76.3517860630802,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/ndvi_image_214.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/gndvi_image_214.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/ndre_image_214.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 28/savi_image_214.jpeg
04_11_21,20-24,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-29.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/IMG_700101_000556_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/IMG_700101_000556_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/IMG_700101_000556_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/IMG_700101_000556_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/IMG_700101_000556_0000_GRE.TIF,,,0,0.78735185,0.9163545,0.0901708,0.3657859,0.62384814,9.20838,11.951837,2077.0,2137.0,957.0,1035.0,0.5495989561119156,24685.676353176204,0.10121083278090534,0.8202457554838164,0.5323231060406082,958.5986462705041,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/ndvi_image_215.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/gndvi_image_215.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/ndre_image_215.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 29/savi_image_215.jpeg
04_11_21,20-25,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/7-30.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/IMG_700101_000607_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/IMG_700101_000607_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/IMG_700101_000607_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/IMG_700101_000607_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/IMG_700101_000607_0000_GRE.TIF,,,0,0.8219616,0.80271107,0.119477615,0.32591772,0.63511974,11.564836,10.268492,2002.0,2071.0,951.0,1032.0,0.47467649102486537,24561.931697367756,0.14290243264682406,0.7087711629201983,0.46468209044917225,1055.256077641142,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/ndvi_image_216.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/gndvi_image_216.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/ndre_image_216.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/7 - 30/savi_image_216.jpeg
