Tree_ID,class,shape,x1,x2,y1,y2,label
23-25,0,rectangle,1769,1832,525,603,
23-24,0,rectangle,1700,1758,516,594,
23-23,0,rectangle,1628,1691,512,583,
23-22,0,rectangle,1548,1622,498,587,
23-21,0,rectangle,1479,1544,498,579,
23-20,0,rectangle,1403,1474,491,563,
23-19,0,rectangle,1334,1396,474,547,
23-18,0,rectangle,1258,1327,469,543,
23-17,0,rectangle,1186,1253,471,532,
23-16,0,rectangle,1121,1182,458,525,
23-15,0,rectangle,1050,1119,442,520,
23-14,0,rectangle,976,1043,442,520,
22-3,0,rectangle,45,103,420,494,
22-2,0,rectangle,109,179,413,491,
22-3,0,rectangle,188,246,436,505,
22-4,0,rectangle,255,317,447,518,
22-5,0,rectangle,326,395,440,527,
22-6,0,rectangle,398,469,451,536,
22-7,0,rectangle,478,538,465,529,
22-8,0,rectangle,545,610,471,550,
22-9,0,rectangle,617,684,487,558,
22-10,0,rectangle,692,759,491,563,
22-11,0,rectangle,764,824,503,567,
22-12,0,rectangle,831,907,503,581,
22-13,0,rectangle,907,967,518,583,
22-14,0,rectangle,974,1043,525,603,
22-15,0,rectangle,1057,1130,534,605,
22-16,0,rectangle,1133,1200,554,621,
22-17,0,rectangle,1204,1267,561,632,
22-18,0,rectangle,1273,1327,556,637,
22-19,0,rectangle,1329,1401,558,639,
22-20,0,rectangle,1398,1468,583,659,
22-21,0,rectangle,1470,1539,587,663,
22-33,0,rectangle,2354,2422,704,762,
22-34,0,rectangle,2436,2476,708,760,
22-32,0,rectangle,2277,2345,673,753,
22-22,0,rectangle,1550,1615,591,662,
22-23,0,rectangle,1629,1695,594,676,
22-31,0,rectangle,2207,2275,659,741,
22-30,0,rectangle,2139,2204,662,739,
22-29,0,rectangle,2069,2125,652,727,
22-28,0,rectangle,1989,2057,641,725,
22-27,0,rectangle,1917,1987,622,701,
22-26,0,rectangle,1849,1919,624,706,
22-25,0,rectangle,1770,1847,615,692,
22-24,0,rectangle,1695,1767,615,687,
21-1,0,rectangle,28,106,500,584,
21-2,0,rectangle,119,187,506,593,
21-3,0,rectangle,194,262,519,603,
21-34,0,rectangle,2449,2527,784,868,
21-33,0,rectangle,2374,2446,781,862,
21-32,0,rectangle,2296,2346,775,843,
21-31,0,rectangle,2205,2286,762,846,
21-30,0,rectangle,2127,2199,759,834,
21-29,0,rectangle,2071,2121,743,825,
21-28,0,rectangle,2002,2062,737,818,
21-27,0,rectangle,1927,1996,737,809,
21-26,0,rectangle,1852,1915,722,800,
21-25,0,rectangle,1777,1849,706,790,
21-24,0,rectangle,1702,1774,697,778,
21-23,0,rectangle,1627,1696,687,768,
21-22,0,rectangle,1556,1618,687,759,
21-21,0,rectangle,1481,1549,678,759,
21-20,0,rectangle,1412,1481,665,750,
21-19,0,rectangle,1340,1409,659,740,
21-18,0,rectangle,1268,1337,656,734,
21-17,0,rectangle,1193,1262,637,715,
21-16,0,rectangle,1131,1196,631,703,
21-4,0,rectangle,266,331,531,609,
21-5,0,rectangle,340,409,544,618,
21-6,0,rectangle,415,469,553,622,
21-7,0,rectangle,475,553,559,637,
21-8,0,rectangle,553,615,568,637,
21-9,0,rectangle,628,697,572,650,
21-10,0,rectangle,703,768,590,659,
21-15,0,rectangle,1062,1121,622,687,
21-12,0,rectangle,778,834,603,668,
21-15,0,rectangle,981,1053,615,684,
21-14,0,rectangle,921,978,600,675,
21-13,0,rectangle,843,906,597,675,
20-1,0,rectangle,44,109,606,662,
20-2,0,rectangle,128,181,600,672,
20-3,0,rectangle,191,253,612,672,
20-4,0,rectangle,269,334,618,687,
20-5,0,rectangle,340,403,634,697,
20-6,0,rectangle,409,475,643,709,
20-7,0,rectangle,487,553,647,712,
20-8,0,rectangle,559,625,659,725,
20-9,0,rectangle,622,687,668,728,
20-10,0,rectangle,697,768,668,737,
20-11,0,rectangle,778,837,681,747,
20-12,0,rectangle,843,912,687,753,
20-13,0,rectangle,928,987,690,765,
20-14,0,rectangle,990,1053,697,772,
20-29,0,rectangle,2436,2514,878,950,
20-28,0,rectangle,2358,2424,878,940,
20-27,0,rectangle,2293,2349,871,940,
20-26,0,rectangle,2227,2277,853,912,
20-25,0,rectangle,2143,2215,850,925,
20-24,0,rectangle,2077,2137,837,915,
20-25,0,rectangle,2002,2071,831,912,
20-26,0,rectangle,1930,1993,815,893,
20-25,0,rectangle,1865,1924,803,884,
20-24,0,rectangle,1787,1855,800,884,
20-23,0,rectangle,1712,1787,787,871,
20-22,0,rectangle,1640,1705,775,862,
20-21,0,rectangle,1568,1634,765,853,
20-20,0,rectangle,1496,1559,762,846,
20-15,0,rectangle,1065,1134,706,787,
20-16,0,rectangle,1137,1199,722,800,
20-17,0,rectangle,1209,1268,722,815,
20-18,0,rectangle,1287,1353,740,822,
20-19,0,rectangle,1362,1415,747,825,
20-20,0,rectangle,1424,1490,753,831,
19-1,0,rectangle,44,112,690,759,
18-1,0,rectangle,66,125,768,853,
17-1,0,rectangle,75,128,865,921,
16-1,0,rectangle,75,131,956,1034,
15-1,0,rectangle,75,141,1053,1128,
15-2,0,rectangle,150,209,1059,1124,
15-3,0,rectangle,228,290,1053,1128,
16-2,0,rectangle,150,203,968,1028,
16-3,0,rectangle,222,284,971,1043,
16-4,0,rectangle,300,365,971,1043,
16-5,0,rectangle,375,431,1000,1065,
16-6,0,rectangle,437,500,1003,1071,
16-7,0,rectangle,509,575,1006,1078,
16-8,0,rectangle,584,643,1018,1090,
16-9,0,rectangle,650,722,1018,1090,
16-10,0,rectangle,731,797,1028,1112,
16-11,0,rectangle,806,862,1034,1115,
16-12,0,rectangle,875,950,1040,1124,
17-2,0,rectangle,144,206,875,946,
19-2,0,rectangle,125,191,697,765,
18-2,0,rectangle,144,194,781,865,
19-3,0,rectangle,206,266,712,775,
18-3,0,rectangle,212,278,787,865,
17-3,0,rectangle,219,281,893,956,
19-4,0,rectangle,272,347,712,784,
18-4,0,rectangle,287,365,797,875,
17-4,0,rectangle,290,356,893,959,
19-5,0,rectangle,347,415,718,800,
19-6,0,rectangle,419,484,728,812,
19-7,0,rectangle,487,559,731,809,
19-8,0,rectangle,568,628,740,818,
19-9,0,rectangle,631,697,747,828,
19-10,0,rectangle,706,772,759,840,
19-11,0,rectangle,781,846,765,853,
19-12,0,rectangle,853,921,765,862,
19-13,0,rectangle,925,1000,781,871,
19-14,0,rectangle,1006,1062,797,868,
19-15,0,rectangle,1068,1131,803,881,
19-16,0,rectangle,1140,1203,812,896,
19-17,0,rectangle,1206,1268,825,903,
19-18,0,rectangle,1284,1353,834,915,
19-19,0,rectangle,1362,1424,837,918,
19-20,0,rectangle,1427,1493,843,928,
19-21,0,rectangle,1499,1568,853,940,
19-22,0,rectangle,1571,1643,859,946,
19-23,0,rectangle,1649,1712,868,950,
19-24,0,rectangle,1724,1787,881,959,
19-25,0,rectangle,1796,1855,890,975,
19-26,0,rectangle,1862,1937,893,978,
19-27,0,rectangle,1937,2008,906,990,
19-28,0,rectangle,2008,2080,918,1000,
19-29,0,rectangle,2080,2143,925,1006,
19-30,0,rectangle,2152,2218,934,1012,
19-31,0,rectangle,2221,2296,943,1028,
19-32,0,rectangle,2286,2361,956,1037,
19-33,0,rectangle,2358,2443,968,1043,
19-34,0,rectangle,2449,2530,971,1062,
18-5,0,rectangle,369,425,812,884,
18-6,0,rectangle,434,494,818,893,
18-7,0,rectangle,500,562,818,893,
18-8,0,rectangle,568,628,834,903,
18-9,0,rectangle,640,715,837,915,
18-10,0,rectangle,715,787,850,918,
18-11,0,rectangle,793,859,859,925,
18-12,0,rectangle,859,918,871,934,
18-13,0,rectangle,934,1006,875,946,
18-14,0,rectangle,1015,1065,878,953,
18-15,0,rectangle,1081,1137,887,965,
18-16,0,rectangle,1146,1215,906,987,
18-17,0,rectangle,1228,1290,918,1000,
18-18,0,rectangle,1303,1365,925,996,
18-19,0,rectangle,1381,1434,928,1009,
18-20,0,rectangle,1452,1512,940,1018,
18-21,0,rectangle,1527,1587,950,1015,
18-22,0,rectangle,1596,1652,965,1031,
18-23,0,rectangle,1662,1724,962,1043,
18-24,0,rectangle,1730,1796,975,1050,
18-25,0,rectangle,1796,1868,981,1062,
18-26,0,rectangle,1874,1933,990,1059,
18-27,0,rectangle,1940,2012,1000,1075,
18-28,0,rectangle,2015,2080,1009,1081,
18-29,0,rectangle,2087,2152,1012,1093,
18-30,0,rectangle,2165,2227,1018,1103,
18-31,0,rectangle,2240,2315,1034,1115,
18-32,0,rectangle,2321,2380,1046,1121,
18-33,0,rectangle,2390,2455,1046,1128,
18-34,0,rectangle,2468,2527,1065,1137,
18-35,0,rectangle,2536,2599,1062,1137,
17-5,0,rectangle,365,425,906,981,
17-6,0,rectangle,434,490,915,981,
17-7,0,rectangle,503,568,918,984,
17-8,0,rectangle,575,643,921,1000,
17-9,0,rectangle,643,715,931,1003,
17-10,0,rectangle,725,790,940,1012,
17-11,0,rectangle,800,862,946,1018,
17-12,0,rectangle,862,931,959,1031,
17-13,0,rectangle,940,1006,971,1046,
17-14,0,rectangle,1015,1071,968,1043,
17-15,0,rectangle,1081,1156,987,1046,
17-16,0,rectangle,1165,1234,996,1065,
17-17,0,rectangle,1246,1290,1012,1075,
17-18,0,rectangle,1293,1368,1009,1084,
17-19,0,rectangle,1377,1445,1032,1103,
17-20,0,rectangle,1460,1522,1029,1097,
16-13,0,rectangle,958,1014,1069,1137,
17-21,0,rectangle,1537,1586,1038,1103,
16-14,0,rectangle,1025,1088,1072,1141,
17-22,0,rectangle,1596,1659,1060,1120,
17-23,0,rectangle,1675,1742,1057,1134,
17-24,0,rectangle,1746,1807,1064,1141,
17-24,0,rectangle,1813,1886,1068,1145,
17-26,0,rectangle,1897,1944,1085,1154,
17-27,0,rectangle,1954,2023,1095,1164,
17-35,0,rectangle,2544,2613,1161,1225,
17-34,0,rectangle,2471,2537,1147,1216,
17-28,0,rectangle,2028,2096,1098,1169,
17-33,0,rectangle,2408,2457,1152,1213,
17-32,0,rectangle,2326,2403,1134,1209,
17-31,0,rectangle,2251,2321,1124,1190,
17-30,0,rectangle,2178,2246,1122,1183,
17-29,0,rectangle,2103,2173,1110,1173,
16-15,0,rectangle,1101,1161,1084,1142,
16-16,0,rectangle,1166,1227,1082,1159,
16-35,0,rectangle,2557,2620,1246,1326,
16-34,0,rectangle,2485,2538,1232,1314,
16-33,0,rectangle,2417,2470,1232,1314,
16-32,0,rectangle,2335,2407,1219,1299,
16-31,0,rectangle,2262,2325,1215,1292,
16-30,0,rectangle,2195,2253,1205,1278,
16-29,0,rectangle,2115,2175,1190,1275,
16-28,0,rectangle,2040,2100,1190,1263,
16-27,0,rectangle,1970,2030,1178,1256,
16-26,0,rectangle,1904,1957,1173,1246,
16-25,0,rectangle,1827,1890,1159,1239,
16-17,0,rectangle,1244,1299,1086,1169,
16-18,0,rectangle,1311,1369,1106,1178,
16-24,0,rectangle,1742,1820,1149,1236,
16-23,0,rectangle,1679,1737,1144,1222,
16-19,0,rectangle,1389,1447,1123,1183,
16-20,0,rectangle,1466,1509,1129,1189,
16-21,0,rectangle,1522,1583,1131,1196,
16-22,0,rectangle,1600,1671,1137,1212,
15-4,0,rectangle,299,366,1073,1144,
15-5,0,rectangle,385,439,1083,1152,
15-6,0,rectangle,444,508,1087,1161,
15-7,0,rectangle,515,579,1099,1175,
15-8,0,rectangle,582,655,1102,1180,
15-9,0,rectangle,662,734,1106,1187,
15-10,0,rectangle,736,798,1121,1197,
15-11,0,rectangle,798,871,1135,1201,
15-12,0,rectangle,869,945,1137,1216,
15-13,0,rectangle,947,1019,1142,1216,
15-14,0,rectangle,1028,1092,1147,1227,
15-15,0,rectangle,1085,1166,1163,1246,
15-16,0,rectangle,1170,1218,1168,1241,
15-34,0,rectangle,2494,2552,1342,1415,
15-17,0,rectangle,1243,1301,1190,1253,
15-33,0,rectangle,2416,2477,1323,1405,
15-32,0,rectangle,2341,2409,1311,1388,
15-31,0,rectangle,2276,2337,1299,1376,
15-30,0,rectangle,2187,2266,1294,1374,
15-2,0,rectangle,2044,2114,1296,1357,
15-27,0,rectangle,2000,2037,1282,1330,
15-26,0,rectangle,1904,1971,1272,1335,
15-25,0,rectangle,1826,1889,1258,1333,
15-24,0,rectangle,1763,1817,1248,1321,
15-23,0,rectangle,1691,1754,1236,1309,
15-22,0,rectangle,1609,1679,1217,1294,
15-21,0,rectangle,1534,1601,1219,1292,
15-20,0,rectangle,1461,1529,1209,1284,
15-19,0,rectangle,1391,1456,1207,1275,
15-18,0,rectangle,1309,1379,1188,1272,
14-1,0,rectangle,103,155,1155,1219,
14-2,0,rectangle,165,219,1145,1214,
14-3,0,rectangle,239,293,1160,1231,
14-4,0,rectangle,310,369,1165,1231,
14-5,0,rectangle,379,433,1169,1241,
14-6,0,rectangle,448,515,1187,1263,
14-7,0,rectangle,527,591,1187,1263,
14-8,0,rectangle,603,665,1192,1265,
14-9,0,rectangle,665,726,1199,1278,
14-10,0,rectangle,736,800,1211,1297,
14-11,0,rectangle,812,879,1221,1295,
14-12,0,rectangle,896,953,1231,1297,
14-13,0,rectangle,963,1019,1238,1315,
14-14,0,rectangle,1029,1093,1243,1320,
14-15,0,rectangle,1113,1172,1261,1339,
14-16,0,rectangle,1187,1246,1261,1339,
14-17,0,rectangle,1256,1307,1273,1344,
14-18,0,rectangle,1312,1386,1280,1354,
14-19,0,rectangle,1401,1460,1285,1371,
14-20,0,rectangle,1477,1531,1295,1366,
14-21,0,rectangle,1541,1608,1302,1376,
14-22,0,rectangle,1615,1679,1320,1398,
14-23,0,rectangle,1686,1753,1332,1408,
14-24,0,rectangle,1763,1824,1337,1411,
14-25,0,rectangle,1832,1896,1347,1421,
14-26,0,rectangle,1901,1962,1359,1430,
14-27,0,rectangle,1982,2046,1357,1430,
14-28,0,rectangle,2056,2117,1371,1440,
14-29,0,rectangle,2120,2181,1376,1450,
14-30,0,rectangle,2196,2265,1391,1460,
14-31,0,rectangle,2280,2341,1398,1477,
14-32,0,rectangle,2346,2415,1406,1482,
14-33,0,rectangle,2420,2484,1423,1485,
14-34,0,rectangle,2492,2565,1430,1504,
13-1,0,rectangle,101,158,1241,1307,
13-2,0,rectangle,175,231,1233,1312,
13-3,0,rectangle,241,303,1246,1320,
13-4,0,rectangle,320,384,1253,1327,
13-5,0,rectangle,391,448,1258,1332,
13-6,0,rectangle,460,517,1273,1342,
13-7,0,rectangle,529,591,1285,1357,
13-8,0,rectangle,608,667,1275,1369,
13-9,0,rectangle,672,739,1290,1366,
13-10,0,rectangle,748,810,1302,1374,
13-11,0,rectangle,822,884,1305,1379,
13-12,0,rectangle,899,960,1312,1398,
13-13,0,rectangle,968,1029,1325,1398,
13-14,0,rectangle,1036,1103,1332,1413,
13-15,0,rectangle,1113,1172,1349,1428,
13-16,0,rectangle,1179,1256,1357,1438,
13-18,0,rectangle,1317,1391,1369,1443,
13-19,0,rectangle,1398,1467,1381,1462,
13-20,0,rectangle,1475,1534,1393,1467,
13-21,0,rectangle,1551,1605,1391,1480,
13-22,0,rectangle,1618,1682,1408,1492,
13-23,0,rectangle,1694,1763,1418,1489,
13-24,0,rectangle,1770,1837,1430,1509,
13-25,0,rectangle,1851,1908,1435,1514,
13-26,0,rectangle,1913,1972,1438,1524,
13-27,0,rectangle,1979,2046,1443,1526,
13-28,0,rectangle,2058,2125,1465,1539,
13-29,0,rectangle,2135,2191,1475,1556,
13-30,0,rectangle,2206,2265,1480,1561,
13-31,0,rectangle,2275,2341,1485,1573,
13-32,0,rectangle,2344,2415,1497,1583,
13-33,0,rectangle,2427,2494,1512,1595,
13-34,0,rectangle,2501,2565,1526,1610,
13-35,0,rectangle,2570,2639,1519,1613,
12-1,0,rectangle,106,170,1325,1396,
12-2,0,rectangle,180,246,1327,1411,
12-3,0,rectangle,256,320,1332,1416,
12-4,0,rectangle,330,391,1332,1416,
12-5,0,rectangle,394,455,1344,1435,
12-6,0,rectangle,460,527,1359,1435,
12-7,0,rectangle,534,603,1366,1443,
12-8,0,rectangle,608,675,1376,1455,
12-9,0,rectangle,692,741,1379,1457,
12-10,0,rectangle,748,815,1384,1467,
12-11,0,rectangle,822,896,1391,1477,
12-12,0,rectangle,904,963,1406,1487,
12-13,0,rectangle,972,1039,1413,1497,
12-14,0,rectangle,1049,1113,1430,1512,
12-15,0,rectangle,1120,1182,1438,1517,
12-16,0,rectangle,1189,1253,1445,1526,
12-17,0,rectangle,1258,1325,1453,1536,
12-35,0,rectangle,2583,2632,1625,1696,
12-34,0,rectangle,2509,2575,1622,1691,
12-33,0,rectangle,2427,2499,1610,1684,
12-32,0,rectangle,2346,2420,1590,1672,
12-31,0,rectangle,2282,2339,1581,1664,
12-30,0,rectangle,2211,2275,1568,1657,
12-29,0,rectangle,2132,2206,1568,1650,
12-28,0,rectangle,2058,2122,1549,1622,
12-27,0,rectangle,1989,2053,1536,1625,
12-26,0,rectangle,1920,1987,1536,1613,
12-25,0,rectangle,1851,1913,1521,1605,
12-24,0,rectangle,1773,1844,1521,1603,
12-18,0,rectangle,1329,1396,1465,1544,
12-19,0,rectangle,1403,1467,1475,1553,
12-20,0,rectangle,1480,1544,1482,1561,
12-21,0,rectangle,1553,1613,1489,1568,
12-22,0,rectangle,1694,1770,1502,1586,
12-23,0,rectangle,1625,1689,1497,1578,
11-1,0,rectangle,94,160,1409,1484,
11-2,0,rectangle,171,230,1425,1492,
11-3,0,rectangle,243,297,1436,1500,
11-4,0,rectangle,305,372,1446,1510,
11-5,0,rectangle,382,446,1452,1508,
11-6,0,rectangle,452,519,1457,1521,
11-7,0,rectangle,532,599,1465,1532,
11-8,0,rectangle,610,674,1476,1540,
11-9,0,rectangle,684,746,1481,1553,
11-10,0,rectangle,757,802,1516,1559,
11-11,0,rectangle,821,901,1489,1567,
11-12,0,rectangle,912,970,1513,1572,
11-13,0,rectangle,978,1045,1516,1588,
11-14,0,rectangle,1059,1120,1518,1593,
11-15,0,rectangle,1125,1182,1534,1599,
11-16,0,rectangle,1187,1259,1537,1607,
11-17,0,rectangle,1264,1342,1548,1625,
11-18,0,rectangle,1342,1406,1564,1636,
11-19,0,rectangle,1414,1476,1572,1636,
11-20,0,rectangle,1486,1545,1583,1655,
11-21,0,rectangle,1553,1620,1583,1649,
11-22,0,rectangle,1633,1690,1591,1663,
11-23,0,rectangle,1700,1762,1599,1674,
11-24,0,rectangle,1772,1834,1615,1684,
11-25,0,rectangle,1845,1922,1617,1695,
11-26,0,rectangle,1930,1989,1623,1698,
11-27,0,rectangle,1994,2056,1631,1714,
11-28,0,rectangle,2064,2133,1639,1719,
11-29,0,rectangle,2152,2216,1657,1730,
11-30,0,rectangle,2222,2275,1668,1740,
11-31,0,rectangle,2286,2342,1676,1740,
11-32,0,rectangle,2355,2433,1679,1754,
11-33,0,rectangle,2441,2500,1692,1764,
11-34,0,rectangle,2510,2580,1703,1780,
10-1,0,rectangle,99,179,1503,1580,
10-2,0,rectangle,188,253,1511,1589,
10-3,0,rectangle,264,326,1519,1595,
10-4,0,rectangle,331,394,1542,1608,
10-5,0,rectangle,405,475,1545,1610,
10-6,0,rectangle,478,543,1553,1618,
9-1,0,rectangle,115,188,1595,1668,
9-2,0,rectangle,191,261,1603,1676,
9-3,0,rectangle,264,334,1610,1681,
9-4,0,rectangle,339,407,1621,1691,
10-7,0,rectangle,543,608,1561,1631,
10-8,0,rectangle,611,681,1561,1636,
10-9,0,rectangle,684,757,1561,1644,
10-10,0,rectangle,757,830,1574,1652,
10-11,0,rectangle,830,903,1584,1663,
10-12,0,rectangle,906,971,1595,1676,
10-13,0,rectangle,976,1039,1608,1678,
10-14,0,rectangle,1062,1133,1605,1696,
10-15,0,rectangle,1138,1195,1618,1694,
10-16,0,rectangle,1198,1274,1631,1702,
10-17,0,rectangle,1276,1339,1644,1704,
10-18,0,rectangle,1342,1404,1647,1733,
10-19,0,rectangle,1407,1477,1660,1733,
10-20,0,rectangle,1482,1553,1665,1749,
10-21,0,rectangle,1553,1626,1678,1757,
10-22,0,rectangle,1639,1704,1681,1764,
10-23,0,rectangle,1704,1775,1707,1775,
10-24,0,rectangle,1777,1840,1710,1783,
10-25,0,rectangle,1843,1926,1710,1788,
10-26,0,rectangle,1929,1999,1725,1798,
10-27,0,rectangle,2002,2072,1728,1809,
10-28,0,rectangle,2072,2143,1736,1814,
10-29,0,rectangle,2156,2224,1749,1830,
10-30,0,rectangle,2232,2289,1759,1832,
10-31,0,rectangle,2299,2362,1772,1845,
10-32,0,rectangle,2367,2432,1785,1856,
10-33,0,rectangle,2446,2508,1788,1869,
10-34,0,rectangle,2515,2592,1794,1882,
9-5,0,rectangle,411,477,1632,1700,
9-6,0,rectangle,495,555,1634,1708,
9-7,0,rectangle,558,621,1642,1716,
9-8,0,rectangle,634,689,1653,1724,
9-9,0,rectangle,705,762,1663,1724,
9-10,0,rectangle,770,838,1676,1742,
9-11,0,rectangle,843,896,1687,1750,
9-12,0,rectangle,904,977,1689,1755,
9-13,0,rectangle,980,1050,1695,1771,
9-14,0,rectangle,1050,1121,1708,1773,
9-15,0,rectangle,1126,1197,1724,1789,
9-16,0,rectangle,1202,1265,1724,1789,
9-17,0,rectangle,1263,1341,1726,1807,
9-18,0,rectangle,1349,1414,1737,1800,
9-19,0,rectangle,1422,1490,1745,1818,
9-20,0,rectangle,1498,1566,1758,1831,
9-21,0,rectangle,1574,1642,1763,1852,
9-22,0,rectangle,1650,1705,1781,1849,
9-23,0,rectangle,1705,1792,1784,1862,
9-24,0,rectangle,1797,1870,1792,1868,
9-25,0,rectangle,1875,1928,1802,1875,
8-2,0,rectangle,189,259,1692,1771,
8-3,0,rectangle,270,322,1703,1771,
8-4,0,rectangle,333,403,1697,1784,
8-5,0,rectangle,409,471,1713,1786,
8-6,0,rectangle,471,547,1718,1802,
8-7,0,rectangle,547,618,1729,1807,
8-8,0,rectangle,618,697,1734,1815,
8-9,0,rectangle,707,775,1745,1815,
8-10,0,rectangle,775,846,1758,1836,
8-11,0,rectangle,851,922,1763,1844,
8-12,0,rectangle,922,982,1765,1855,
8-13,0,rectangle,990,1058,1781,1857,
8-14,0,rectangle,1061,1121,1789,1873,
8-15,0,rectangle,1124,1200,1797,1875,
7-1,0,rectangle,128,199,1773,1844,
7-2,0,rectangle,194,265,1781,1868,
7-3,0,rectangle,270,327,1784,1870,
7-4,0,rectangle,330,403,1794,1881,
7-5,0,rectangle,409,482,1800,1881,
9-26,0,rectangle,1934,1998,1814,1885,
9-27,0,rectangle,2005,2069,1821,1895,
9-28,0,rectangle,2073,2144,1817,1895,
9-29,0,rectangle,2151,2218,1835,1913,
9-30,0,rectangle,2232,2296,1838,1916,
9-31,0,rectangle,2300,2364,1853,1934,
9-32,0,rectangle,2364,2438,1860,1938,
